Attribute name	Description
node.owner.has_ar_effects	Whether the account has contents where AR (Augmented Reality) effects are used (see note)
node.owner.has_blocked_viewer	Whether the user has blocked the account collecting the data
node.owner.has_channel	Whether the user has an Instagram Channel
node.owner.has_clips	Whether the user has content labelled as “clips”
node.owner.has_guides	Whether the user has content labelled as “guides”
node.owner.has_requested_viewer	Whether the user has requested to follow the account collecting the data
node.owner.hide_like_and_view_counts	Whether the number of likes and views the user has received should be shown or not (this is chosen by the user in their account’s preferences)
node.owner.highlight_reel_count	Number of Highlight Reels the user has
node.owner.id	The unique ID of the user’s account
node.owner.is_business_account	Whether the user’s account is set as a business account or not
node.owner.is_eligible_to_view_account_transparency	Whether the user’s account has been authenticated or not (see description)
node.owner.is_embeds_disabled	Whether the owner has blocked the embedding of the contents outside of Instagram
node.owner.is_guardian_of_viewer	Whether the user’s account is a guardian of another account
node.owner.is_joined_recently	Whether the user’s account has been recently created or not
node.owner.is_private	Whether the user’s account is private or not
node.owner.is_professional_account	Whether the user’s account is set as a professional account or not
node.owner.is_supervised_by_viewer	Whether the user’s account is supervised by the account collecting the data
node.owner.is_supervised_user	Whether the user’s account is supervised by a guardian or not
node.owner.is_supervision_enabled	Whether the user’s account is supervised by another account
node.owner.is_verified	Whether the user’s account is verified or not
node.owner.location_transparency_country	The label of the country (in ISO 3166-1 code) where the creator is from, as indicated by the creator themselves
node.owner.overall_category_name	The name of the category – unregarding of the business status – the user belongs to (selected from a predefined list of items)
node.owner.profile_pic_url	Direct link to the user’s profile picture in standard resolution
node.owner.profile_pic_url_hd	Direct link to the user’s profile picture in high resolution
node.owner.pronouns	The preferred pronouns as indicated by the owner of the account
node.owner.requested_by_viewer	Whether the account collecting the data has requested to follow the the user’s account
node.owner.restricted_by_viewer	Whether the account that created the post is restricted by the account collecting the data
node.owner.should_show_category	Whether the user’s account category (node.owner.category_name) should be publicly visible
node.owner.should_show_public_contacts	Whether the user’s account contacts should be publicly visible
node.owner.state_controlled_media_country	Whether the user’s account is from a country where news media are controlled by the government (see description)
node.owner.transparency_label	Label referring to the transparency measures adopted by Facebook and Instagram (see description)
node.owner.transparency_product	Details regarding the transparency measures adopted by Facebook and Instagram (see description)
node.owner.username	The username of the user’s account
node.pinned_for_users.*	An array of JSON objects containing details about users that have “pinned” (i.e. bookmarked) the content. The objects have the same structure as the user’s account (node.owner.*)
node.sensitivity_friction_info.*	A JSON object containing information as to whether the contents have been marked (either by the user or by Instagram) as ‘sensitive’
node.sharing_friction_info.*	A JSON object containing information as to whether the sharing of the post should be inhibited
node.sharing_friction_info.bloks_app_url	[Unknown: no data was found containing this value and it was not possible to determine its type nor its possible values]
node.sharing_friction_info.should_have_sharing_friction	Whether the post can be shared or not
node.shortcode	Short unique ID of the content, contained in the direct link to the post in the format https://instagram.com/p/SHORTCODE/
node.taken_at_timestamp	The timestamp indicating the date and time of publication of the content
node.thumbnail_resources.*	An array of JSON objects containing details about the different preview thumbnails automatically created by Instagram (one object for each thumbnail)
node.thumbnail_resources.0.config_height	The height (in pixels) of the preview thumbnail
node.thumbnail_resources.0.config_width	The width (in pixels) of the preview thumbnail
node.thumbnail_resources.0.src	The direct link to the preview thumbnail
node.thumbnail_src	The direct link to the post’s original content (picture or video) from which Instagram derives the preview thumbnails
node.tracking_token	A string of text representing the token (i.e. the key) used by Instagram to track internal and external interactions with the content
